timestamp,x,y,z
11087,0.92,-0.24,0.43
11191,0.43,-0.55,-0.24
11294,-0.18,-0.92,1.22
11398,-0.43,-1.1,1.95
11502,0.98,-4.15,3.54
11606,-0.43,-0.67,0.98
11711,3.6,0.85,-5.86
11814,0.92,0.49,-1.77
11917,0.61,-0.43,-1.16
12022,0.43,-0.37,-0.73
12126,0.43,0.73,-0.92
12229,0.49,0.06,-0.37
12333,0.49,0.24,-0.49
12436,0.06,0.24,0.37
12540,0.0,-0.61,0.67
12643,0.31,0.18,0.06
12745,0.24,-0.24,0.12
12848,0.18,0.0,0.18
12950,0.18,-0.67,0.06
13054,0.43,-0.18,-0.31
13157,0.49,-0.37,-0.43
13261,0.31,-0.18,-0.18
13364,0.43,0.0,-0.18
13467,0.12,-0.12,0.31
13570,0.24,-0.37,0.12
13674,0.37,-0.06,0.06
13777,0.24,-0.18,0.06
13880,0.43,-0.24,-0.37
13983,0.43,-0.12,-0.37
14085,0.37,-0.18,-0.18
14189,0.31,-0.12,-0.24
14292,0.31,-0.06,-0.18
14396,0.37,0.0,-0.18
14500,0.43,0.31,-0.06
14604,0.18,0.37,0.24
14709,0.61,-0.18,-0.92
14812,0.49,-0.49,-1.04
14915,-0.18,-0.37,0.92
15018,1.1,-0.49,-0.49
15122,-0.67,-1.4,1.46
15226,2.14,0.73,-8.36
15329,-9.22,53.41,-23.62
15433,17.88,-51.33,-8.36
15537,-4.46,-11.96,7.57
15639,4.39,-8.67,-6.29
15743,2.14,-5.43,7.69
15846,8.12,-5.98,-0.18
15948,2.14,-1.83,0.37
16050,0.18,-0.92,0.73
16153,5.13,-4.46,1.83
16255,2.93,0.67,-1.83
16358,0.49,-0.18,-0.18
16461,0.85,0.73,-0.73
16564,0.43,-0.18,-0.55
16666,0.55,-1.46,-0.31
16770,2.2,-3.23,1.1
16873,0.79,3.36,-1.83
16979,1.04,-0.31,-1.16
17081,-0.18,-0.18,0.61
17185,1.16,3.3,-0.85
17288,0.0,2.87,-0.73
17392,0.79,0.49,-0.43
17494,0.31,0.24,0.06
17597,0.24,-0.79,0.0
17701,0.43,0.24,0.12
17805,0.49,1.1,-1.04
17909,-0.37,-0.37,1.28
18012,0.06,1.16,0.31
18114,0.37,0.49,-0.37
18217,0.92,-0.18,-1.4
18320,0.79,-0.79,-0.73
18424,0.61,0.55,-0.49
18526,0.31,0.0,-0.24
18628,0.61,0.55,-0.37
18731,0.43,0.79,-0.31
18835,0.37,-1.59,-0.18
18938,0.12,1.16,0.37
19040,0.31,0.12,-0.24
19143,0.06,1.1,0.24
19245,0.67,0.06,-0.85
19348,0.06,1.71,0.55
19451,-2.32,15.75,2.56
19554,-42.11,24.35,-9.4
19657,-8.24,-35.28,5.0
19760,-7.51,-1.22,28.44
19863,5.98,-50.6,-35.46
19967,19.96,-75.68,-30.52
20074,193.79,-109.01,-64.33
20178,79.83,-123.54,-15.44
20280,158.87,-182.31,-11.72
20383,-0.24,-11.35,2.26
20486,520.02,-245.36,-46.33
20589,356.81,-271.48,165.65
20693,-9.83,27.83,-14.47
20796,-354.74,33.75,-7.39
20899,-116.52,-25.15,12.82
21001,-19.35,-2.81,-5.62
21105,23.5,1.95,-3.11
21209,18.86,-1.46,-1.77
21311,3.54,-0.92,-3.11
21415,6.16,-0.61,-0.49
21518,4.64,1.65,-1.22
21624,3.66,-0.12,4.09
21727,-4.03,3.3,4.39
21829,0.49,-0.31,1.65
21932,-0.37,-0.12,1.46
22035,-3.3,0.0,7.02
22138,-0.49,0.67,4.15
22242,-14.04,1.46,8.24
22345,-0.85,-0.06,1.89
22448,-4.76,-0.12,-2.75
22552,0.18,-0.12,1.28
22656,1.46,-0.73,0.55
22759,1.28,-0.85,-3.17
22862,1.53,0.0,-1.34
22965,13.24,-2.14,-3.11
23069,14.1,-2.5,-1.65
23174,1.28,-0.31,-0.73
23278,0.85,-0.24,-0.37
23381,1.53,-0.31,-0.31
23484,2.14,-0.37,-0.31
23587,1.16,-0.31,-0.24
23690,0.92,-0.31,-0.24
23793,0.67,-0.12,-0.24
23896,0.61,-0.18,-0.18
23999,0.49,-0.24,-0.24
24103,5.13,0.24,0.37
24207,-2.14,-0.37,-0.67
24311,0.55,-0.12,-0.24
24414,0.43,-0.06,-0.18
24517,0.55,-0.12,-0.18
24620,0.67,-0.12,-0.18
24723,0.49,-0.12,-0.18
24826,0.49,-0.06,-0.18
24930,0.92,-0.12,-0.06
25034,0.43,-0.06,-0.18
25137,0.43,-0.06,-0.24
25242,0.43,-0.12,-0.18
25345,0.37,-0.06,-0.24
25447,0.43,-0.06,-0.24
25551,0.43,-0.06,-0.24
25654,0.37,-0.06,-0.24
25758,0.43,-0.06,-0.18
25861,0.67,-0.12,-0.18
25964,0.43,-0.12,-0.18
26069,0.49,-0.18,-0.18
26174,-1.95,-1.77,-9.64
26276,0.24,-0.67,-1.46
26380,4.09,-0.67,-0.92
26483,3.05,-1.71,-3.78
26588,0.06,-0.24,-0.49
26690,4.21,-1.04,-3.36
26794,-0.49,0.06,-1.16
26897,1.28,0.31,-1.4
27000,0.12,-1.1,0.98
27104,0.79,-0.31,-0.06
27210,0.24,-0.06,-0.12
27313,0.24,-0.43,-0.12
27416,0.31,-0.31,-0.18
27519,2.2,0.0,-0.06
27622,0.92,-0.18,-0.12
27726,0.61,0.06,-0.18
27828,2.08,0.18,-0.37
27932,3.23,0.0,-0.24
28036,0.37,-0.24,-0.61
28140,0.73,-0.06,-0.24
28243,0.98,0.06,-0.43
28347,0.67,0.0,-0.24
28450,0.61,0.0,-0.31
28553,0.12,0.0,-0.24
28658,0.31,-0.06,-0.31
28761,0.37,-0.06,-0.24
28866,-0.18,0.0,-0.43
28968,0.43,0.18,-0.55
29071,0.31,0.0,-0.24
29175,0.31,-0.06,-0.24
29278,0.43,-0.06,-0.12
29380,0.06,0.0,-0.31
29484,0.06,0.0,-0.43
29587,0.61,0.12,-0.31
29692,0.43,-0.06,-0.18
29794,0.43,-0.06,-0.24
29898,0.43,-0.06,-0.18
30002,0.43,-0.06,-0.18
30105,0.49,-0.06,-0.24
30209,0.43,-0.06,-0.18
30312,0.43,-0.06,-0.18
30415,0.43,-0.06,-0.18
30518,0.43,-0.06,-0.24
30621,-13.61,-0.24,-11.54
30725,0.06,0.31,-0.67
30828,6.23,12.08,-3.85
30930,65.67,-21.3,7.2
31034,167.36,-7.75,-39.0
31137,73.55,-5.8,0.85
31240,8.06,-2.01,-3.36
31344,-4.76,-1.77,-4.09
31448,2.56,-0.37,0.37
31550,2.26,-0.31,0.37
31652,0.24,0.31,-0.43
31755,2.56,-0.61,1.04
31857,-3.6,0.0,0.18
31959,-2.69,0.24,-0.18
32062,0.24,0.06,-0.18
32164,0.06,-0.12,-0.24
32267,-2.32,0.18,-0.31
32370,-1.46,-0.06,-0.31
32472,4.33,0.43,0.06
32574,1.16,-0.06,-0.18
32677,0.06,-0.24,-0.24
32780,0.49,0.0,-0.18
32882,0.31,-0.12,-0.18
32985,0.24,-0.06,-0.24
33087,0.43,-0.06,-0.24
33190,0.37,-0.06,-0.24
33293,0.31,-0.12,-0.24
33396,0.37,-0.06,-0.18
33499,0.55,0.0,-0.18
33601,-1.04,0.12,-0.37
33704,-0.67,-0.06,-0.37
33808,0.31,-0.06,-0.18
33911,0.37,-0.06,-0.18
34014,0.24,-0.12,-0.24
34116,0.37,-0.06,-0.24
34219,-0.24,-0.06,-0.24
34321,-0.18,-0.12,-0.18
34426,1.77,-0.06,-0.06
34528,1.65,-0.06,-0.12
34631,-0.06,-0.06,-0.24
34733,0.43,-0.06,-0.24
34836,0.67,0.0,-0.18
34938,0.55,0.0,-0.24
35041,-4.82,-0.73,-0.73
35144,7.26,1.53,-0.73
35247,11.35,0.0,-0.49
35349,-2.32,-0.18,-0.18
35454,-0.31,-0.18,-0.24
35557,0.43,0.0,-0.18
35660,1.16,-0.06,-0.24
35762,0.06,-0.12,-0.24
35865,-15.87,-2.81,0.43
35969,-13.43,3.48,-3.05
36073,0.24,-0.18,-0.24
36176,2.44,-1.95,-0.43
36279,-25.09,-2.01,0.85
36382,-4.46,0.98,-3.72
36485,14.34,3.42,-2.44
36589,8.36,2.38,0.85
36691,3.91,1.22,0.37
36794,0.61,0.06,-0.12
36896,0.24,0.67,0.12
37000,0.37,-0.06,-0.18
37104,0.37,0.0,-0.18
37207,0.37,-0.06,-0.18
37310,0.31,-0.06,-0.18
37414,7.14,1.1,-3.42
37517,4.39,0.37,-0.92
37619,0.49,-0.67,0.31
37723,0.43,-0.18,-0.24
37827,0.37,-0.18,-0.24
37930,0.37,-0.18,-0.18
38033,0.24,-0.24,-0.24
38137,0.37,-0.12,-0.31
38241,0.37,-0.12,-0.24
38344,0.37,-0.18,-0.24
38448,0.43,-0.06,-0.18
38551,0.43,-0.18,-0.18
38655,0.37,-0.24,-0.18
38758,0.37,-0.06,-0.24
38861,0.49,0.0,-0.37
38963,0.43,-0.06,-0.18
39066,0.31,-0.06,-0.18
39169,0.37,-0.06,-0.18
39272,0.43,-0.06,-0.18
39374,0.37,-0.06,-0.24
39477,0.43,-0.06,-0.18
39580,0.43,-0.06,-0.24
39683,0.37,-0.06,-0.18
39785,0.43,0.0,-0.24
39889,0.61,0.0,-0.06
39992,0.49,0.0,-0.06
40094,0.37,-0.06,-0.18
40197,0.43,0.0,-0.24
40300,0.37,0.0,-0.24
40402,0.31,-0.06,-0.24
40506,0.37,-0.06,-0.18
40610,0.37,-0.06,-0.24
40712,0.43,-0.06,-0.24
40816,0.43,-0.06,-0.24
40919,0.43,0.0,-0.24
41024,0.43,0.0,-0.18
41127,0.37,-0.06,-0.24
41230,0.31,-0.06,-0.24
41333,0.37,-0.06,-0.18
41435,0.43,-0.12,-0.24
41540,0.43,-0.18,-0.06
41643,0.43,-0.12,-0.12
41746,0.37,-0.24,0.0
41850,1.1,0.67,-0.61
41953,0.55,-0.12,-0.12
42055,0.43,0.06,-0.31
42159,0.37,-0.18,-0.18
42262,0.37,-0.24,0.0
42365,0.24,-0.12,-0.18
42468,0.37,-0.06,0.31
42571,0.43,-0.06,-0.18
42674,0.37,-0.18,0.0
42777,0.37,-0.12,-0.24
42880,0.37,-0.06,-0.18
42983,0.18,-0.12,-0.12
43086,0.31,-0.12,-0.12
43188,0.49,-0.06,-0.24
43291,0.49,0.0,-0.24
43394,1.1,0.24,0.85
43496,0.85,0.18,1.53
43599,5.92,6.53,17.03
43702,-22.83,5.25,14.59
43806,147.03,-8.48,-27.04
43910,-270.69,39.92,-58.23
44013,14.4,-6.29,-0.06
44118,2.87,-0.85,0.61
44221,0.73,-0.37,0.18
44325,0.24,-0.24,-0.24
44428,0.49,0.06,-0.67
44531,0.43,-0.12,-0.06
44634,0.43,-0.06,-0.24
44737,0.49,-0.12,-0.24
44841,0.43,-0.12,-0.18
44944,0.43,-0.06,-0.31
45047,0.43,-0.06,-0.18
45150,0.43,-0.06,-0.18
45253,0.49,-0.06,-0.18
45356,0.43,-0.06,-0.24
45460,0.49,-0.06,-0.24
45564,0.43,-0.06,-0.18
45667,0.43,-0.06,-0.18
45770,0.43,-0.06,-0.18
45875,0.43,0.0,-0.24
45977,0.43,-0.06,-0.24
46081,0.43,-0.06,-0.24
46184,0.43,-0.06,-0.24
46288,0.43,-0.06,-0.18
46392,0.43,-0.06,-0.18
46495,0.37,-0.06,-0.18
46598,0.37,-0.06,-0.24
46704,0.37,0.0,-0.24
46808,0.43,-0.06,-0.24
46911,0.37,-0.06,-0.18
47015,0.43,-0.06,-0.24
47120,0.43,-0.06,-0.18
47223,0.37,-0.06,-0.24
47326,0.37,-0.06,-0.18
47429,0.43,-0.06,-0.24
47535,0.37,-0.06,-0.24
47638,0.43,-0.06,-0.24
47742,0.43,-0.06,-0.18
47845,0.37,-0.06,-0.18
47949,0.43,-0.06,-0.18
48052,0.37,-0.12,-0.18
48157,0.37,-0.06,-0.24
48260,0.37,-0.06,-0.18
48363,0.43,-0.12,-0.24
48468,0.43,-0.06,-0.18
48571,0.37,-0.06,-0.24
48675,0.37,-0.06,-0.24
48778,0.37,-0.06,-0.24
48881,0.43,-0.06,-0.24
48985,0.43,-0.06,-0.24
49090,0.43,-0.06,-0.24
49193,0.37,-0.06,-0.18
49295,0.37,-0.06,-0.24
49399,0.37,-0.06,-0.18
49502,0.31,-0.06,-0.24
49607,0.43,-0.06,-0.18
49710,0.37,-0.06,-0.24
49814,0.31,-0.06,-0.24
49918,0.37,-0.06,-0.18
50022,0.37,-0.06,-0.24
50125,0.37,-0.06,-0.24
50228,0.37,-0.12,-0.24
50331,0.31,-0.12,-0.24
50436,0.37,-0.06,-0.18
50539,0.37,-0.06,-0.24
50643,0.31,-0.06,-0.24
50747,0.43,-0.06,-0.24
50851,0.37,-0.06,-0.18
50954,0.37,-0.06,-0.24
51059,0.37,-0.06,-0.24
51163,0.37,-0.06,-0.18
51267,0.73,0.0,-0.49
51371,0.37,-0.12,-0.24
51476,0.43,-0.06,-0.24
51578,0.37,-0.06,-0.18
51682,0.43,-0.06,-0.24
51785,0.37,-0.06,-0.24
51889,0.37,-0.06,-0.18
51992,0.37,-0.06,-0.24
52095,0.37,-0.06,-0.18
52198,0.37,-0.06,-0.24
52302,0.37,-0.06,-0.18
52406,0.43,-0.06,-0.18
52509,0.43,-0.06,-0.24
52615,0.43,-0.06,-0.24
52719,0.43,-0.06,-0.18
52823,0.37,-0.06,-0.24
52926,0.37,-0.06,-0.18
53028,0.37,-0.06,-0.18
53132,0.43,-0.06,-0.18
53235,0.37,-0.06,-0.24
53338,0.37,-0.06,-0.24
53442,0.37,-0.06,-0.18
53545,0.37,-0.06,-0.24
53648,0.43,-0.12,-0.24
53752,0.43,-0.06,-0.18
53857,0.43,-0.06,-0.18
53960,0.49,-0.18,-0.24
54064,0.37,-0.06,-0.18
54167,0.37,-0.06,-0.24
54269,0.37,0.0,-0.18
54374,0.43,-0.06,-0.24
54477,0.37,-0.06,-0.24
54580,0.37,-0.06,-0.24
54684,0.37,-0.06,-0.18
54788,0.37,-0.06,-0.18
54892,0.37,-0.06,-0.24
54995,0.37,0.0,-0.18
55099,0.37,-0.06,-0.18
55203,0.37,-0.06,-0.18
55305,0.43,-0.06,-0.24
55410,0.37,-0.06,-0.18
55513,0.37,-0.06,-0.18
55617,0.37,-0.12,-0.24
55721,0.31,-0.06,-0.24
55825,0.37,-0.12,-0.24
55928,0.37,-0.06,-0.24
56032,0.37,-0.06,-0.24
56136,0.31,-0.12,-0.24
56240,0.37,-0.06,-0.18
56343,0.37,-0.12,-0.24
56447,0.37,-0.06,-0.24
56551,0.37,-0.06,-0.18
56654,0.43,-0.06,-0.18
56758,0.37,-0.06,-0.18
56861,0.31,-0.06,-0.24
56965,0.37,-0.06,-0.18
57069,0.37,-0.06,-0.24
57173,0.43,-0.06,-0.24
57277,0.37,-0.06,-0.18
57380,0.43,-0.06,-0.24
57482,0.37,-0.06,-0.18
57586,0.37,-0.06,-0.24
57688,0.37,-0.06,-0.24
57792,0.37,-0.06,-0.18
57895,0.37,-0.06,-0.18
57998,0.37,-0.06,-0.18
58101,0.37,-0.06,-0.24
58204,0.37,-0.06,-0.18
58307,0.37,-0.06,-0.24
58410,0.37,-0.06,-0.18
58512,0.37,-0.06,-0.24
58616,0.37,-0.06,-0.18
58719,0.43,-0.12,-0.18
58822,0.43,-0.12,-0.24
58925,0.43,-0.06,-0.18
59029,0.43,-0.12,-0.18
59134,0.37,-0.06,-0.24
59238,0.37,-0.06,-0.18
59342,0.37,-0.06,-0.18
59445,0.43,-0.12,-0.18
59549,0.37,-0.06,-0.24
59653,0.37,-0.06,-0.24
59757,0.37,-0.12,-0.18
59860,0.43,-0.06,-0.24
59963,0.37,-0.06,-0.24
60065,0.37,-0.06,-0.24
60170,0.43,-0.06,-0.18
60274,0.37,-0.06,-0.24
60376,0.37,-0.06,-0.18
60480,0.37,-0.06,-0.24
60583,0.37,-0.06,-0.18
60686,0.37,-0.12,-0.24
60790,0.37,-0.06,-0.18
60893,0.37,-0.12,-0.18
60995,0.37,-0.06,-0.24
61098,0.31,-0.06,-0.18
61202,0.37,-0.12,-0.18
61305,0.37,-0.06,-0.24
61408,0.37,0.0,-0.18
61511,0.43,-0.12,-0.18
61614,0.43,0.0,-0.24
61717,0.37,-0.06,-0.24
61820,0.37,-0.06,-0.24
61923,0.37,-0.06,-0.18
62026,0.37,-0.06,-0.18
62129,0.31,-0.12,-0.24
62232,0.37,-0.06,-0.18
62336,0.37,-0.12,-0.18
62439,0.37,-0.06,-0.24
62542,0.43,-0.06,-0.24
62644,0.37,-0.06,-0.18
62747,0.37,-0.06,-0.24
62850,0.37,-0.06,-0.18
62953,0.37,-0.06,-0.24
63057,0.37,-0.06,-0.18
63160,0.37,-0.12,-0.18
63263,0.37,-0.06,-0.24
63366,0.37,-0.12,-0.18
63468,0.31,-0.06,-0.18
63572,0.43,-0.06,-0.24
63674,0.37,-0.06,-0.24
63777,0.37,-0.06,-0.18
63879,0.37,-0.06,-0.24
63982,0.37,-0.06,-0.18
64084,0.37,-0.06,-0.24
64187,0.37,-0.06,-0.18
64290,0.37,-0.06,-0.24
64393,0.37,-0.06,-0.24
64496,0.31,-0.06,-0.18
64598,0.37,-0.06,-0.24
64701,0.37,0.0,-0.18
64804,0.37,-0.06,-0.24
64906,0.43,-0.06,-0.18
65010,0.37,-0.06,-0.18
65112,0.31,-0.06,-0.18
65216,0.37,-0.06,-0.24
65318,0.31,-0.06,-0.24
65420,0.43,-0.06,-0.18
65524,0.37,-0.06,-0.24
65626,0.43,-0.06,-0.18
65729,0.37,-0.06,-0.24
65832,0.37,-0.06,-0.18
65935,0.37,-0.06,-0.24
66038,0.37,-0.06,-0.18
66140,0.37,-0.06,-0.18
66243,0.37,-0.06,-0.18
66346,0.37,-0.06,-0.24
66448,0.37,-0.06,-0.24
66551,0.37,-0.06,-0.18
66654,0.37,-0.06,-0.24
66757,0.37,-0.12,-0.18
66860,0.37,-0.06,-0.18
66963,0.37,-0.06,-0.18
67066,0.37,-0.06,-0.18
67169,0.37,-0.12,-0.18
67272,0.37,-0.06,-0.24
67375,0.31,-0.06,-0.24
67478,0.37,-0.06,-0.24
67580,0.37,-0.06,-0.24
67683,0.37,-0.06,-0.24
67786,0.37,-0.12,-0.24
67893,0.37,-0.06,-0.18
67996,0.37,-0.06,-0.18
68099,0.43,-0.06,-0.24
68202,0.37,-0.06,-0.24
68305,0.37,-0.06,-0.24
68408,0.37,-0.06,-0.24
68511,0.37,-0.06,-0.24
68614,0.37,-0.06,-0.18
68717,0.43,-0.12,-0.24
68820,0.37,-0.06,-0.24
68923,0.37,-0.06,-0.18
69026,0.43,-0.12,-0.18
69129,0.37,-0.06,-0.18
69233,0.37,-0.06,-0.18
69336,0.37,0.0,-0.24
69438,0.37,-0.06,-0.24
69541,0.37,-0.06,-0.24
69644,0.37,-0.06,-0.18
69747,0.37,-0.06,-0.24
69851,0.37,-0.06,-0.24
69954,0.37,-0.06,-0.24
70057,0.37,-0.06,-0.18
70160,0.37,-0.06,-0.24
70263,0.43,-0.06,-0.24
70366,0.43,-0.06,-0.18
70470,0.37,-0.06,-0.24
70573,0.37,-0.06,-0.18
70675,0.37,-0.06,-0.24
70778,0.37,-0.12,-0.24
70880,0.37,-0.06,-0.24
70983,0.37,-0.06,-0.24
71086,0.37,-0.06,-0.18
71189,0.43,-0.06,-0.24
71291,0.37,-0.06,-0.18
71394,0.43,-0.06,-0.24
71497,0.37,-0.06,-0.18
71601,0.37,-0.06,-0.18
71704,0.31,-0.12,-0.18
71807,0.37,-0.06,-0.24
71910,0.37,-0.12,-0.18
72013,0.37,-0.06,-0.24
72117,0.37,-0.06,-0.24
72221,0.37,-0.06,-0.18
72324,0.37,-0.06,-0.24
72427,0.37,-0.06,-0.24
72529,0.37,-0.06,-0.24
72632,0.37,-0.06,-0.18
72735,0.37,-0.06,-0.24
72838,0.31,-0.12,-0.24
72941,0.37,-0.06,-0.18
73044,0.37,-0.06,-0.24
73147,0.43,-0.06,-0.24
73251,0.37,-0.06,-0.18
73353,0.43,-0.06,-0.18
73456,0.37,-0.06,-0.18
73559,0.37,-0.06,-0.24
73662,0.37,-0.06,-0.24
73766,0.37,-0.12,-0.24
73868,0.37,-0.06,-0.18
73972,0.43,-0.06,-0.24
74074,0.43,-0.06,-0.24
74177,0.31,-0.06,-0.24
74281,0.37,-0.12,-0.24
74384,0.43,-0.06,-0.18
74487,0.37,-0.06,-0.24
74590,0.37,-0.06,-0.18
74693,0.37,-0.12,-0.18
74796,0.37,-0.06,-0.24
74899,0.37,-0.06,-0.18
75002,0.37,-0.06,-0.18
75105,0.37,-0.06,-0.24
75208,0.43,-0.06,-0.18
75311,0.37,-0.06,-0.18
75413,0.37,-0.06,-0.24
75517,0.37,-0.06,-0.24
75620,0.37,-0.12,-0.18
75724,0.37,-0.06,-0.18
75827,0.37,-0.06,-0.18
75930,0.37,-0.06,-0.24
76035,0.31,-0.06,-0.24
76138,0.37,-0.12,-0.24
76241,0.37,-0.12,-0.24
76344,0.31,-0.06,-0.24
76448,0.37,-0.06,-0.24
76552,0.37,-0.06,-0.24
76655,0.37,-0.06,-0.24
76758,0.37,-0.06,-0.24
76861,0.37,-0.06,-0.18
76964,0.37,-0.06,-0.18
77068,0.43,-0.06,-0.18
77171,0.43,-0.06,-0.18
77274,0.37,-0.06,-0.24
77377,0.37,-0.12,-0.18
77481,0.37,-0.06,-0.18
77583,0.43,0.0,-0.24
77687,0.31,-0.06,-0.24
77790,0.37,-0.06,-0.18
77893,0.37,-0.06,-0.24
77996,0.37,-0.12,-0.18
78099,0.43,-0.12,-0.24
78202,0.31,-0.06,-0.18
78305,0.43,-0.12,-0.24
78408,0.31,-0.06,-0.18
78510,0.24,0.73,-1.34
78613,0.73,0.24,-0.49
78716,0.61,1.22,-2.62
78820,-0.31,2.14,3.17
78923,15.81,2.56,2.44
79026,1.04,-1.1,-0.73
79129,-7.69,-2.62,12.21
79233,0.06,-0.43,-0.06
79335,-0.31,-0.37,-0.18
79438,0.18,-0.73,1.04
79542,0.18,-0.24,0.18
79645,0.49,-0.06,-0.18
79749,0.49,0.0,-0.12
79853,0.67,0.0,-0.06
79956,1.1,0.12,-0.06
80058,-0.24,0.0,-0.43
80162,-6.04,-5.62,1.65
80265,59.27,-8.48,-33.33
80369,64.7,31.01,-18.92
80472,149.23,-62.13,21.24
80575,5.74,-13.98,19.53
80679,-155.88,7.08,-10.8
80782,-23.19,-4.03,5.98
80885,-3.3,2.5,-1.16
80988,-45.84,4.21,2.01
81091,-7.81,1.28,-0.61
81194,-8.73,-2.44,1.71
81748,-61.22,-1.22,-3.36
81851,-1.89,-0.55,0.31
81955,-6.16,-7.32,4.21
82058,1.53,-1.04,0.61
82160,0.37,-0.06,-0.24
82263,0.31,-0.55,-0.06
