Timestamp,Humidity (%),Temperature (C)
1738944315.3563771,67.70,16.50
1738944330.39233,67.80,16.80
1738944345.4092596,66.60,17.70
1738944360.422641,64.00,18.90
1738944375.4374387,61.70,19.80
1738944390.457098,59.60,20.40
1738944405.474488,58.00,20.80
1738944420.4918618,56.80,21.10
1738944435.5236158,55.90,21.20
1738944450.549611,55.80,21.20
1738944465.5595334,55.50,21.10
1738944480.5842543,55.40,20.80
1738944495.5952013,100.00,25.30
1738944510.6072876,100.00,23.70
1738944525.6179612,100.00,22.20
1738944540.6312964,100.00,21.10
1738944555.6429346,98.60,20.20
1738944570.656996,90.60,19.20
1738944585.6721563,82.30,18.40
1738944600.6857154,78.90,18.20
1738944615.6976583,77.70,18.10
1738944630.7099864,77.20,18.10
1738944645.7194955,73.20,18.00
1738944660.7306042,70.90,18.10
1738944675.7412107,71.30,18.20
1738944690.7537165,71.20,18.30
1738944705.7666252,70.20,18.50
1738944720.77978,68.20,18.60
1738944735.792621,67.00,18.80
1738944750.8105142,63.80,18.90
1738944765.8306131,62.30,18.90
1738944780.8434136,62.30,18.90
1738944795.860318,62.90,19.00
1738944810.8785596,63.20,19.20
1738944825.8962154,62.60,19.50
1738944840.912126,64.00,19.70
1738944854.9283018,61.80,20.00
1738944869.9459794,59.70,20.10
1738944884.958296,58.60,20.10
1738944899.9722767,58.10,20.10
1738944914.984034,58.00,20.10
1738944929.997265,57.20,20.10
1738944945.0113478,100.00,23.40
1738944960.0231206,100.00,21.60
1738944975.038551,98.90,20.50
1738944990.052959,88.00,19.30
1738945005.0675068,80.00,18.90
1738945020.0797656,71.70,18.80
1738945035.0932913,68.70,18.60
1738945050.1051056,64.80,18.50
1738945065.1178446,63.10,18.40
1738945080.1316686,63.80,18.30
1738945095.144337,63.10,18.40
1738945110.1590712,62.80,18.50
1738945125.171246,62.50,18.60
1738945140.1827426,61.50,18.80
1738945155.1998851,60.10,18.80
1738945170.2146444,59.60,18.60
1738945185.237939,60.10,18.60
1738945200.2510157,60.60,18.60
1738945215.269396,60.40,18.70
1738945230.2833612,60.10,18.70
1738945245.2994761,59.70,18.80
1738945260.318634,59.30,18.80
1738945275.3336484,59.30,18.80
1738945290.3599155,59.30,18.90
1738945305.3729799,59.20,18.90
1738945320.3860853,59.00,18.90
1738945335.3985205,58.90,18.90
1738945350.41108,58.90,19.00
1738945365.4271753,58.50,19.00
1738945380.4446797,58.40,19.00
1738945395.4607856,58.30,19.00
1738945410.4733312,58.30,19.00
1738945425.4861367,58.30,18.90
1738945440.501119,58.30,18.90
1738945455.5139928,58.30,18.90
1738945470.5293117,58.30,18.90
1738945485.5427659,58.40,18.90
1738945500.560255,58.30,18.90
1738945515.5742981,58.30,18.80
1738945530.5910115,58.50,18.80
1738945545.6084392,58.60,18.80
1738945560.6223233,58.40,18.80
1738945575.637807,58.30,18.70
1738945590.6506014,58.40,18.60
1738945605.66248,58.60,18.50
1738945620.6745646,58.90,18.50
1738945635.6919384,59.30,18.50
1738945650.7126343,59.30,18.30
1738945665.7318766,59.80,18.20
1738945680.7446516,61.30,18.20
1738945695.7624137,61.10,18.20
1738945710.774048,60.70,18.20
1738945725.7866204,60.30,18.10
1738945740.7991667,60.20,18.00
1738945755.8218763,60.50,18.00
1738945770.842034,60.80,17.90
1738945785.8650148,61.00,17.80
1738945800.8831353,61.20,17.80
1738945815.903844,61.80,17.80
1738945830.9190702,61.40,17.80
1738945845.931618,61.30,17.70
1738945860.9455273,61.40,17.60
1738945875.9571328,61.50,17.60
1738945890.9741788,61.50,17.50
1738945905.9931858,61.80,17.50
1738945921.0103822,61.80,17.60
1738945936.0279632,61.70,17.50
1738945951.043805,61.70,17.50
1738945966.0579786,62.00,17.50
1738945981.080123,61.90,17.60
1738945996.099742,61.60,17.60
1738946011.116811,61.90,17.80
1738946026.1340594,61.50,17.90
1738946041.1523118,60.90,18.10
1738946056.1784434,60.40,18.20
1738946071.1912413,60.10,18.40
1738946086.2078142,59.70,18.50
1738946101.2208982,59.30,18.60
